"ProfileId","ProfileCat","ConstId","ConstVal","ConstString"
"36","F","10149","0.00001690000000000000082342986595929090753998025320470333099365234375",""
"38","F","10172","0.000045040000000000002451129577085708888262161053717136383056640625",""
"16","F","18","1064",""
"37","F","10133","2.479999999999999982236431605997495353221893310546875",""
"36","F","10151","0.000404999999999999978073095263653158326633274555206298828125",""
"38","F","10173","0.00004496000000000000321707938066850829272880218923091888427734375",""
"16","F","19","983",""
"37","F","10134","0.175999999999999989785948173448559828102588653564453125",""
"36","F","10152","0.00002580000000000000031480894280289106745840399526059627532958984375",""
"38","F","10174","0.0000282800000000000002872875548565190229055588133633136749267578125",""
"16","F","20","849",""
"37","F","10135","0.00020599999999999999279569340426832013690727762877941131591796875",""
"36","F","10153","0.0002910000000000000260069743518442919594235718250274658203125",""
"38","F","10175","0.00009741999999999999900086866677639818590250797569751739501953125",""
"16","F","21","635",""
"37","F","10136","0.0000332000000000000006152196807551746360331890173256397247314453125",""
"36","F","10154","0.00046900000000000001583455588871629515779204666614532470703125",""
"38","F","10176","0.00009637000000000000058363036625763697884394787251949310302734375",""
"16","F","22","458",""
"37","F","10137","0.000077899999999999996157240556016176924458704888820648193359375",""
"36","F","10155","0.000017799999999999998982758153687200319836847484111785888671875",""
"38","F","10177","0.00010720000000000000361932706027801032178103923797607421875",""
"16","F","23","891",""
"37","F","10138","0.0014599999999999999263089467405052346293814480304718017578125",""
"36","F","10156","0.000013999999999999999789990039189557791132756392471492290496826171875",""
"38","F","10178","0.000112100000000000000750614848055164429752039723098278045654296875",""
"16","F","24","870",""
"37","F","10139","0.0000410000000000000004740131898106625385480583645403385162353515625",""
"36","F","10157","0.00046900000000000001583455588871629515779204666614532470703125",""
"38","F","10179","0.00003491999999999999769982605979379286509356461465358734130859375",""
"16","F","25","822",""
"37","F","10140","0.0000066399999999999999536373467001748593929733033291995525360107421875",""
"36","F","10158","0.000854999999999999965756558584217827956308610737323760986328125",""
"38","F","10180","2.9199999999999999289457264239899814128875732421875",""
"16","F","26","740",""
"37","F","10144","0.000001359999999999999896105784720490294859018831630237400531768798828125",""
"36","F","10159","0.000089400000000000004636568906590810001944191753864288330078125",""
"38","F","10181","0.00006758999999999999491913371674201016503502614796161651611328125",""
"16","F","27","593",""
"37","F","10145","0.000404999999999999978073095263653158326633274555206298828125",""
"36","F","10160","0.0000566000000000000001916002079216383435777970589697360992431640625",""
"38","F","10182","0.000065040000000000000699058866349133722906117327511310577392578125",""
"16","F","28","379",""
"37","F","10146","0.000393000000000000011650402864660236446070484817028045654296875",""
"36","F","10161","0.000854999999999999965756558584217827956308610737323760986328125",""
"38","F","10183","0.000100899999999999999563370101096637654336518608033657073974609375",""
"33","F","10008","1099",""
"37","F","10147","0.00131999999999999999278355033993648248724639415740966796875",""
"36","F","10162","0.000033500000000000001131039706336878225556574761867523193359375",""
"38","F","10184","0.0000951799999999999933424088549571706607821397483348846435546875",""
"33","F","10009","1064",""
"37","F","10148","0.000037299999999999998629741926325920076124020852148532867431640625",""
"36","F","10163","0.000033500000000000001131039706336878225556574761867523193359375",""
"38","F","10185","0.0001004000000000000009624245844719325759797357022762298583984375",""
"33","F","10010","983",""
"37","F","10149","0.0000191999999999999991311637470570161667637876234948635101318359375",""
"36","F","10164","0.0000344000000000000026784997830819889941267319954931735992431640625",""
"38","F","10186","0.000056719999999999999042675502547439236877835355699062347412109375",""
"33","F","10011","849",""
"37","F","10150","0.0000163999999999999988343525603173844729099073447287082672119140625",""
"36","F","10165","0.0002030000000000000011900203045200896667665801942348480224609375",""
"38","F","10187","0",""
"33","F","10012","635",""
"37","F","10151","0.00144000000000000009069134332406747489585541188716888427734375",""
"36","F","10166","0.00001239999999999999986239306026813977723577409051358699798583984375",""
"38","F","10188","0.00022969999999999999966415753505089014652185142040252685546875",""
"33","F","10013","458",""
"37","F","10152","0.000012900000000000000157404471401445533729201997630298137664794921875",""
"36","F","10167","0.00002050000000000000023700659490533126927402918227016925811767578125",""
"38","F","10189","0.0002645999999999999806148121006543760813656263053417205810546875",""
"33","F","10014","891",""
"37","F","10153","0.001299999999999999940325512426397835952229797840118408203125",""
"36","F","10168","0.000004269999999999999775010701974498061872509424574673175811767578125",""
"38","F","10190","0.000096440000000000004995621971648489534345571883022785186767578125",""
"33","F","10015","870",""
"37","F","10154","0.00003460000000000000076362527412499048296012915670871734619140625",""
"36","F","10169","0.00001959999999999999868954651816022050070387194864451885223388671875",""
"38","F","10191","0.00016589999999999999386914029120276836692937649786472320556640625",""
"33","F","10016","822",""
"37","F","10155","0.00001889999999999999861534372147531257724040187895298004150390625",""
"36","F","10170","0.00001690000000000000082342986595929090753998025320470333099365234375",""
"38","F","10192","0.000009574000000000000153328738594638025460881181061267852783203125",""
"33","F","10017","740",""
"37","F","10156","0.00001769999999999999994019540816569957542014890350401401519775390625",""
"36","F","10171","0.0000061299999999999997543696610147190284578755381517112255096435546875",""
"38","F","10193","0.00010799999999999999595982902445001627711462788283824920654296875",""
"33","F","10018","593",""
"37","F","10157","0.000805999999999999967338626394308676026412285864353179931640625",""
"36","F","10172","0.0000980999999999999992665589143570059604826383292675018310546875",""
"38","F","10194","0.000072620000000000006052346124274521343977539800107479095458984375",""
"33","F","10019","379",""
"37","F","10158","0.000080199999999999997853106226131103539955802261829376220703125",""
"36","F","10173","0.000093599999999999998305522108665854830178432166576385498046875",""
"38","F","10195","0.0000484300000000000021812586459279970085844979621469974517822265625",""
"10","F","17","1120",""
"37","F","10159","0.0001050000000000000043541559247017858069739304482936859130859375",""
"36","F","10174","0.000079800000000000001682855244045100562289007939398288726806640625",""
"38","F","10196","0.0003125000000000000065052130349130266040447168052196502685546875",""
"10","F","18","1020",""
"37","F","10160","0.00009019999999999999697707087076281595727778039872646331787109375",""
"36","F","10175","0.0002910000000000000260069743518442919594235718250274658203125",""
"38","F","10197","0.000699999999999999992887633748495090912911109626293182373046875",""
"10","F","19","920",""
"37","F","10161","0.00086399999999999996767863219560013021691702306270599365234375",""
"36","F","10176","0.000029499999999999998770948417270432173609151504933834075927734375",""
"38","F","10198","0.000035830000000000000845608305599654386242036707699298858642578125",""
"10","F","20","775",""
"37","F","10162","0.000069700000000000000128196064874686044277041219174861907958984375",""
"36","F","10177","0.00037399999999999998349931029650861091795377433300018310546875",""
"38","F","10199","0.00002080000000000000075282662048703485879741492681205272674560546875",""
"10","F","21","540",""
"37","F","10163","0.0000480999999999999968704721131640411613261676393449306488037109375",""
"36","F","10178","0.00021499999999999999471776701565062239751568995416164398193359375",""
"38","F","10200","0",""
"10","F","22","325",""
"37","F","10164","0.0000441999999999999969410753586362972100687329657375812530517578125",""
"36","F","10179","1.1599999999999999098231095188628125443156807015412050171918900552028306732449904138015992185685551331213692660693226343937567435204982757568359375E-40",""
"38","F","10201","0.0254999999999999983624210386778941028751432895660400390625",""
"10","F","23","740",""
"37","F","10165","0.0002689999999999999791451543718068251109798438847064971923828125",""
"36","F","10180","0.00024000000000000000608020578329870886591379530727863311767578125",""
"38","F","10202","0.0002689999999999999791451543718068251109798438847064971923828125",""
"10","F","24","650",""
"37","F","10166","0.000017799999999999998982758153687200319836847484111785888671875",""
"36","F","10181","0.00020000000000000000958434720477185919662588275969028472900390625",""
"38","F","10203","0.030300000000000000544009282066326704807579517364501953125",""
"10","F","25","560",""
"37","F","10167","0.0000165000000000000012650470948560865735998959280550479888916015625",""
"36","F","10182","0.000210000000000000008708311849403571613947860896587371826171875",""
"38","F","10204","0.0005130000000000000011379786002407854539342224597930908203125",""
"10","F","26","445",""
"37","F","10168","0.000011100000000000000450616106928425352862177533097565174102783203125",""
"36","F","10183","0.0002610000000000000015300261058115438572713173925876617431640625",""
"38","F","10205","0.00013940000000000000025639212974937208855408243834972381591796875",""
"10","F","27","290",""
"37","F","10169","0.000011899999999999999567381649134834020742346183396875858306884765625",""
"36","F","10184","0.0002480000000000000108003883614316009698086418211460113525390625",""
"38","F","10206","0.0002120000000000000031120939159023919273749925196170806884765625",""
"10","F","28","170",""
"37","F","10170","0.000004439999999999999841433263869650005517542012967169284820556640625",""
"36","F","10185","0.00019300000000000000206605565988837724944460205733776092529296875",""
"38","F","10207","0.0000378899999999999980630598084285765025924774818122386932373046875",""
"37","F","10171","0.000016099999999999998318532534735680883386521600186824798583984375",""
"36","F","10186","0.00010600000000000000155604695795119596368749625980854034423828125",""
"38","F","10208","0.0000862699999999999990289711870872224608319811522960662841796875",""
"37","F","10172","0.00010600000000000000155604695795119596368749625980854034423828125",""
"36","F","10187","0.000404999999999999978073095263653158326633274555206298828125",""
"38","F","10209","0.00008674999999999999443327236559042603403213433921337127685546875",""
"37","F","10173","0.0001179999999999999950837936690817286944366060197353363037109375",""
"36","F","10188","0.000766999999999999995149713161168847364024259150028228759765625",""
"38","F","10210","0",""
"37","F","10174","0.00010799999999999999595982902445001627711462788283824920654296875",""
"36","F","10189","0.00089999999999999997536692664112933925935067236423492431640625",""
"38","F","10211","0.00001243999999999999947941815847674007500245352275669574737548828125",""
"37","F","10175","0.00018200000000000000574019998200725467540905810892581939697265625",""
"36","F","10190","0.0004850000000000000252749210449820793655817396938800811767578125",""
"38","F","10212","0.000001281999999999999965280485410279442959335938212461769580841064453125",""
"37","F","10176","0.00015899999999999998878154328085798852043808437883853912353515625",""
"36","F","10191","0.0002709999999999999735489364383056454244069755077362060546875",""
"38","F","10213","0.0000554200000000000013249644437163254906408837996423244476318359375",""
"37","F","10177","0.000235999999999999990167587338163457388873212039470672607421875",""
"36","F","10192","0.000032900000000000000099399655173471046509803272783756256103515625",""
"38","F","10214","6.474000000000000399488710341178165919018283602781593799591064453125E-7",""
"37","F","10178","0.00018900000000000001325849152689073662259033881127834320068359375",""
"36","F","10193","0.00017699999999999999262569050362259304165490902960300445556640625",""
"38","F","10215","0.00000210599999999999982634897588429367942808312363922595977783203125",""
"37","F","10179","0.000086600000000000004339757719851178308090311475098133087158203125",""
"36","F","10194","0.0002790000000000000053741733285761483784881420433521270751953125",""
"38","F","10216","0.00000130900000000000008793725296551979653258968028239905834197998046875",""
"37","F","10180","0.0002790000000000000053741733285761483784881420433521270751953125",""
"36","F","10195","0.000599999999999999947437878677902745039318688213825225830078125",""
"38","F","10217","0",""
"37","F","10181","0.0001410000000000000120424503702309948494075797498226165771484375",""
"36","F","10196","0.00120999999999999992110477631257481334614567458629608154296875",""
"38","F","10218","5.008000000000000374771936574591624236063580610789358615875244140625E-7",""
"37","F","10182","0.0002210000000000000050341675272846941879834048449993133544921875",""
"36","F","10197","0.0003150000000000000130624677741053574209217913448810577392578125",""
"38","F","10219","0",""
"37","F","10183","0.000681999999999999989043486525730486391694284975528717041015625",""
"36","F","10198","0.000068600000000000000495610497086573786873486824333667755126953125",""
"38","F","10220","0.0000039859999999999996142204840288147948967889533378183841705322265625",""
"37","F","10184","0.0006830000000000000133504318711175073985941708087921142578125",""
"36","F","10199","0.000087600000000000001541648753100588464803877286612987518310546875",""
"38","F","10221","0.000069859999999999998596296457709087235343758948147296905517578125",""
"37","F","10185","0.00022000000000000000783227649403528403126983903348445892333984375",""
"36","F","10200","0",""
"38","F","10222","0.000004517999999999999772258563179860857417224906384944915771484375",""
"37","F","10186","0.00048200000000000000656419363309623804525472223758697509765625",""
"36","F","10201","0.08809999999999999775734949025718378834426403045654296875",""
"38","F","10223","0.0000604799999999999969243526243278807896786020137369632720947265625",""
"37","F","10187","0",""
"36","F","10202","0.0010300000000000000995037385820296549354679882526397705078125",""
"38","F","10224","0.000001123999999999999953372042428567656457971679628826677799224853515625",""
"37","F","10188","0.00079100000000000003641531520770513452589511871337890625",""
"36","F","10203","0.1539999999999999980015985556747182272374629974365234375",""
"38","F","10225","0.00007501999999999999662637917285934463507146574556827545166015625",""
"37","F","10189","0.0017999999999999999507338532822586785187013447284698486328125",""
"36","F","10204","0.00127000000000000007847889005319075295119546353816986083984375",""
"38","F","10226","8.953000000000000296838400214161080015173865831457078456878662109375E-7",""
"37","F","10190","0.0004400000000000000156645529880705680625396780669689178466796875",""
"36","F","10205","0.00056400000000000004816980148092397939763031899929046630859375",""
"38","F","10227","0.000034260000000000000630780150334686595670063979923725128173828125",""
"37","F","10191","0.0007349999999999999762689828486372789484448730945587158203125",""
"36","F","10206","0.00048200000000000000656419363309623804525472223758697509765625",""
"38","F","10228","0.0000046700000000000001804264203320027348809162504039704799652099609375",""
"37","F","10192","0.00008119999999999999505499725938051369666936807334423065185546875",""
"36","F","10207","0.0000375999999999999991455619519076236656474065966904163360595703125",""
"38","F","10229","0.000036560000000000002326645820449613211167161352932453155517578125",""
"37","F","10193","0.00079100000000000003641531520770513452589511871337890625",""
"36","F","10208","0.0000712999999999999983617271492875033800373785197734832763671875",""
"38","F","10230","0.00002084000000000000036985171869563515656409435905516147613525390625",""
"37","F","10194","0.0002649999999999999903375902388091844841255806386470794677734375",""
"36","F","10209","0.00008590000000000000087742313414906902835355140268802642822265625",""
"38","F","10231","0.000034369999999999997883533275899736736391787417232990264892578125",""
"37","F","10195","0.0002610000000000000015300261058115438572713173925876617431640625",""
"36","F","10210","0",""
"38","F","10232","0",""
"37","F","10196","0.002380000000000000170974345792274107225239276885986328125",""
"36","F","10211","0.0000333999999999999987003451717981761248665861785411834716796875",""
"38","F","10233","0",""
"37","F","10197","0.004490000000000000067446048745978259830735623836517333984375",""
"36","F","10212","0.000002129999999999999935377213711173993715419783256947994232177734375",""
"38","F","10234","0",""
"37","F","10198","0.000066400000000000001230439361510349272066378034651279449462890625",""
"36","F","10213","0.000091799999999999995210601955175633293038117699325084686279296875",""
"38","F","10235","0",""
"37","F","10199","0.00006600000000000000506018837942434629439958371222019195556640625",""
"36","F","10215","0.000068499999999999998064915962547871686183498241007328033447265625",""
